AOA,Velocity,AirbrakeCutHeight [m],PercentAirbrakeExtension,rocket-drag-force-op [N],airbrakes-drag-force-op [N],Ab_CD
90,0,0,0,0,0,0
90,5,0.01815,0,0,0,0
90,20,0.01815,0,0,0,0
90,40,0.01815,0,0,0,0
90,60,0.01815,0,0,0,0
90,80,0.01815,0,0,0,0
90,100,0.01815,0,0,0,0
90,120,0.01815,0,0,0,0
90,140,0.01815,0,0,0,0
90,160,0.01815,0,0,0,0
90,180,0.01815,0,0,0,0
90,200,0.01815,0,0,0,0
90,210,0.01815,0,0,0,0
90,220,0.01815,0,0,0,0
90,230,0.01815,0,0,0,0
90,240,0.01815,0,0,0,0
90,245,0.01815,0,0,0,0
90,250,0.01815,0,0,0,0
90,255,0.01815,0,0,0,0
90,260,0.01815,0,0,0,0
90,265,0.01815,0,0,0,0
90,270,0.01815,0,0,0,0
90,274,0.01815,0,0,0,0
90,0,0,0.25,0,0,0
90,5,0.01815,0.25,0.063172546,0.002707818,0.008491719
90,20,0.01815,0.25,0.87418786,0.051507731,0.010095517
90,40,0.01815,0.25,3.3147925,0.21816279,0.010689978
90,60,0.01815,0.25,7.2561773,0.50616383,0.011023125
90,80,0.01815,0.25,12.674035,0.91796642,0.01124509
90,100,0.01815,0.25,19.556814,1.4547768,0.011405452
90,120,0.01815,0.25,27.891187,2.1180592,0.011531657
90,140,0.01815,0.25,37.663107,2.9084674,0.011633871
90,160,0.01815,0.25,48.862908,3.8273968,0.011721405
90,180,0.01815,0.25,61.500865,4.8747463,0.011795684
90,200,0.01815,0.25,75.549283,6.0509606,0.011859885
90,210,0.01815,0.25,83.106637,6.6898922,0.011893144
90,220,0.01815,0.25,91.021602,7.3572691,0.011917562
90,230,0.01815,0.25,99.22048,7.9911302,0.011843189
90,240,0.01815,0.25,107.92893,8.7830242,0.011954674
90,245,0.01815,0.25,112.39901,9.1712231,0.011978742
90,250,0.01815,0.25,116.95133,9.5584752,0.011990153
90,255,0.01815,0.25,121.59032,9.9494667,0.011995976
90,260,0.01815,0.25,126.31163,10.347208,0.012000314
90,265,0.01815,0.25,131.0174,10.67671,0.011919604
90,270,0.01815,0.25,135.99552,11.158169,0.012000008
90,274,0.01815,0.25,140.01021,11.528486,0.012038913
90,0,0,0.25,0,0,0
90,5,0.0121,0.5,0.06772626,0.007885798,0.012276864
90,20,0.0121,0.5,0.95255546,0.14091806,0.01371161
90,40,0.0121,0.5,3.6471016,0.5942048,0.01445433
90,60,0.0121,0.5,8.0327662,1.3722205,0.014835535
90,80,0.0121,0.5,14.060042,2.4582874,0.014949769
90,100,0.0121,0.5,21.78471,3.9229084,0.015268275
90,120,0.0121,0.5,31.239745,5.7324302,0.015493805
90,140,0.0121,0.5,42.24969,7.8464412,0.015581112
90,160,0.0121,0.5,54.851758,10.269004,0.015612418
90,180,0.0121,0.5,69.174553,13.11858,0.015758817
90,200,0.0121,0.5,85.18434,16.388812,0.015946643
90,210,0.0121,0.5,93.73514,18.093388,0.015968463
90,220,0.0121,0.5,102.87537,20.056635,0.01612852
90,230,0.0121,0.5,112.28329,21.976181,0.016168821
90,240,0.0121,0.5,122.15263,24.020781,0.016231044
90,245,0.0121,0.5,127.27062,25.101461,0.016276036
90,250,0.0121,0.5,132.44959,26.161136,0.016291399
90,255,0.0121,0.5,137.69082,27.203439,0.016282656
90,260,0.0121,0.5,143.10299,28.336005,0.016314498
90,265,0.0121,0.5,148.54415,29.432375,0.016312306
90,270,0.0121,0.5,154.15782,30.612497,0.0163438
90,274,0.0121,0.5,158.07201,31.341343,0.016247939
90,0,0,0.75,0,0,0
90,5,0.00605,0.75,0.07371475,0.014692065,0.015215005
90,20,0.00605,0.75,1.0600921,0.26007727,0.016833393
90,40,0.00605,0.75,4.0740467,1.0726406,0.017356554
90,60,0.00605,0.75,8.980764,2.4473805,0.017600632
90,80,0.00605,0.75,15.758577,4.3894822,0.017756713
90,100,0.00605,0.75,24.386021,6.9057254,0.017878808
90,120,0.00605,0.75,34.879148,10.018122,0.018011633
90,140,0.00605,0.75,47.206729,13.681533,0.018072072
90,160,0.00605,0.75,61.359032,17.933754,0.018136793
90,180,0.00605,0.75,77.345806,22.764239,0.018190196
90,200,0.00605,0.75,95.149362,28.177928,0.018238047
90,210,0.00605,0.75,104.73305,31.104197,0.018260374
90,220,0.00605,0.75,114.77725,34.175367,0.018280879
90,230,0.00605,0.75,125.28185,37.391402,0.018299758
90,240,0.00605,0.75,136.2478,40.752192,0.018317144
90,245,0.00605,0.75,141.90386,42.48689,0.01832534
90,250,0.00605,0.75,147.67488,44.257817,0.01833324
90,255,0.00605,0.75,153.56102,46.065109,0.018340915
90,260,0.00605,0.75,159.56063,47.909132,0.018348513
90,265,0.00605,0.75,165.67153,49.79055,0.01835627
90,270,0.00605,0.75,171.89715,51.708713,0.018363923
90,274,0.00605,0.75,176.79445,53.238511,0.018359212
90,0,0,1,0,0,0
90,5,0,1,0.078902338,0.020669285,0.016034106
90,20,0,1,1.1398112,0.35565207,0.017243469
90,40,0,1,4.3902026,1.4688192,0.017803593
90,60,0,1,9.6985451,3.3642322,0.018123529
90,80,0,1,17.026695,6.0350432,0.018287726
90,100,0,1,26.365179,9.4733196,0.018372214
90,120,0,1,37.696779,13.725221,0.018484859
90,140,0,1,51.022552,18.752495,0.018555057
90,160,0,1,66.260231,24.328289,0.018430236
90,180,0,1,83.621188,31.172495,0.018658892
90,200,0,1,102.87522,38.5715,0.018701043
90,210,0,1,113.24809,42.571269,0.018721356
90,220,0,1,124.1051,46.759966,0.018736485
90,230,0,1,135.46491,51.153979,0.018753531
90,240,0,1,147.34725,55.749944,0.018770734
90,245,0,1,153.43699,58.119917,0.01877812
90,250,0,1,159.68399,60.535923,0.018784189
90,255,0,1,166.04033,63.00332,0.018790675
90,260,0,1,172.52609,65.521324,0.018797291
90,265,0,1,179.1294,68.090055,0.018804043
90,270,0,1,185.85665,70.709012,0.018810768
90,274,0,1,191.32405,72.83947,0.018815898