AOA,Velocity,RocketDrag,AbDrag,RocketCD
0,5,0.078902338,0.020669285,0.408360205
0,20,1.1398112,0.35565207,0.368694347
0,40,4.3902026,1.4688192,0.355024341
0,60,9.6985451,3.3642322,0.348576126
0,80,17.026695,6.0350432,0.344226208
0,100,26.365179,9.4733196,0.341133425
0,120,37.696779,13.725221,0.33871568
0,140,51.022552,18.752495,0.336821384
0,160,66.260231,24.328289,0.334893355
0,180,83.621188,31.172495,0.333937255
0,200,102.87522,38.5715,0.33277013
0,210,113.24809,42.571269,0.332265957
0,220,124.1051,46.759966,0.331770538
0,230,135.46491,51.153979,0.331332999
0,240,147.34725,55.749944,0.33098865
0,245,153.43699,58.119917,0.330743602
0,250,159.68399,60.535923,0.330578731
0,255,166.04033,63.00332,0.330389911
0,260,172.52609,65.521324,0.330218678
0,265,179.1294,68.090055,0.330041592
0,270,185.85665,70.709012,0.329870992
0,274,191.32405,72.83947,0.329732678
1,5,0.079735774,0.020835414,0.412673666
1,20,1.1518117,0.35928819,0.372576145
1,40,4.4280786,1.4725129,0.358087275
1,60,9.7714994,3.3517138,0.351198182
1,80,17.163002,6.0090936,0.346981907
1,100,26.57879,9.4488337,0.343897292
1,120,38.014581,13.678104,0.341571216
1,140,51.45255,18.69198,0.339659982
1,160,66.912223,24.509815,0.338188662
1,180,84.357841,31.110236,0.336879044
1,200,103.79228,38.506112,0.33573654
1,210,114.24272,42.496739,0.335184167
1,220,125.19876,46.690536,0.334694223
1,230,136.68459,51.100628,0.334316208
1,240,148.60111,55.664258,0.333805217
1,245,154.812,58.06213,0.333707527
1,250,161.11505,60.493134,0.33354132
1,255,167.54848,62.976112,0.333390854
1,260,174.07515,65.488733,0.333183612
1,265,180.75197,68.074125,0.333031138
1,270,187.50689,70.675672,0.33279995
1,274,192.97652,72.780146,0.332580586
2,5,0.08127018,0.021512284,0.420615006
2,20,1.1733913,0.37027265,0.379556491
2,40,4.5176493,1.5126104,0.365330626
2,60,9.9826682,3.4758806,0.358787815
2,80,17.50357,6.1495139,0.35386712
2,100,27.099318,9.6966676,0.350632293
2,120,38.735914,13.998651,0.348052587
2,140,52.442827,19.029517,0.346197218
2,160,68.230789,24.903281,0.344852976
2,180,86.010166,31.587773,0.343477526
2,200,105.60787,39.228706,0.341609423
2,210,116.24761,43.248303,0.341066444
2,220,127.37729,47.536448,0.340518094
2,230,139.34416,51.809436,0.340821238
2,240,151.53894,56.456381,0.340404515
2,245,157.4957,58.87835,0.33949242
2,250,163.90285,61.311419,0.33931264
2,255,170.3589,63.89284,0.338983076
2,260,177.44344,66.353806,0.339630592
2,265,184.2318,68.953003,0.339442641
2,270,191.07828,71.591058,0.339138695
2,274,196.7536,73.755712,0.339090101
3,5,0.082833908,0.02165686,0.428708104
3,20,1.1976141,0.36933338,0.387391832
3,40,4.629371,1.5195366,0.374365272
3,60,10.226214,3.4643637,0.367541113
3,80,17.966295,6.2138587,0.363221964
3,100,27.847486,9.7846399,0.360312679
3,120,39.860235,14.183524,0.358154913
3,140,53.982339,19.40352,0.356360186
3,160,70.196578,25.43144,0.354788493
3,180,88.509704,32.281599,0.353459312
3,200,108.9125,39.953994,0.352298899
3,210,119.8931,44.095491,0.351762185
3,220,131.40251,48.44063,0.351278726
3,230,143.42844,52.994279,0.35081096
3,240,155.9755,57.7552,0.350370436
3,245,162.44353,60.213101,0.350157796
3,250,169.04205,62.722664,0.349951842
3,255,175.77181,65.28398,0.349753778
3,260,182.63169,67.896886,0.349561015
3,265,189.62199,70.561454,0.349373936
3,270,196.74178,73.277424,0.349190659
3,274,202.53277,75.48756,0.349050068
4,5,0.085370367,0.022520801,0.441835584
4,20,1.2337435,0.38047567,0.399078597
4,40,4.765081,1.5597306,0.385339789
4,60,10.53788,3.5558534,0.378742724
4,80,18.533952,6.3866508,0.374698203
4,100,28.77344,10.094834,0.3722934
4,120,41.095325,14.544675,0.369252528
4,140,55.855371,20.08057,0.36872486
4,160,72.693053,26.368011,0.367406211
4,180,91.609253,33.414593,0.365837215
4,200,112.88749,41.488363,0.365156786
4,210,124.25365,45.766585,0.364555887
4,220,136.20303,50.300505,0.364111971
4,230,148.68258,55.040105,0.363662037
4,240,161.68442,59.974634,0.36319448
4,245,168.41505,62.547573,0.363029803
4,250,175.2524,65.147113,0.362808545
4,255,182.21137,67.785905,0.362567325
4,260,189.36142,70.535187,0.362441864
4,265,196.6227,73.312611,0.362272575
4,270,203.99646,76.119598,0.362066758
4,274,210.01466,78.426919,0.361944545
5,5,0.087011866,0.022916394,0.450331186
5,20,1.2713396,0.39771151,0.411239795
5,40,4.9267993,1.6377749,0.39841753
5,60,10.893551,3.7259625,0.391525921
5,80,19.135794,6.6654672,0.386865555
5,100,29.618813,10.459026,0.383231501
5,120,42.377271,15.11088,0.380771157
5,140,57.36099,20.624178,0.378664086
5,160,74.567931,27.001769,0.376882245
5,180,93.996506,34.249118,0.375370596
5,200,115.64548,42.37265,0.374078047
5,210,127.31289,46.752579,0.373531591
5,220,139.5306,51.349826,0.373007574
5,230,152.35939,56.163045,0.372655129
5,240,165.63082,61.19084,0.372059346
5,245,172.62354,63.785468,0.372101482
5,250,179.50525,66.43334,0.37161282
5,255,186.65865,69.135092,0.3714166
5,260,193.9343,71.889837,0.371194456
5,265,201.33725,74.698067,0.370959019
5,270,208.87076,77.560147,0.370717996
5,274,215.04237,79.888893,0.370609427